Date (YYYY-MM-DD),Time Recording Started (24-hr time),Time taken to eat MM:SS.,Meal,Recorded by:,Notes,,
2020-09-17,18:31,01:55,Dinner,Andrew,,55:00,01:55
2020-09-18,7:23,02:07,Breakfast,Andrew,,07:00,02:07
2020-09-19,10:27,02:09,Breakfast,Andrew,Didn't finish. Switched to wet food,09:00,02:09
2020-09-19,18:24,02:25,Dinner,Andrew,,25:00,02:25
2020-09-20,10:17,01:52,Breakfast,Andrew,,52:00,01:52
2020-09-20,19:02,02:35,Dinner,Andrew,,35:00,02:35
2020-09-21,8:45,01:49,Breakfast,Andrew,(didn't finish),49:00,01:49
2020-09-21,18:43,02:26,Dinner,Andrew,,26:00,02:26
2020-09-22,8:13,01:41,Breakfast,Andrew,,41:00,01:41
2020-09-22,19:19,02:16,Dinner,Andrew,,16:00,02:16
2020-09-23,7:23,01:53,Breakfast,Andrew,,53:00,01:53
2020-09-23,17:48,02:24,Dinner,Andrew,,24:00,02:24
2020-09-24,9:25,01:30,Breakfast,Andrew,(had been bothering me since 7 AM for food),30:00,01:30
2020-09-24,18:14,02:12,Dinner,Andrew,,12:00,02:12
2020-09-25,7:25,02:24,Breakfast,Andrew,,24:00,02:24
2020-09-25,18:22,02:52,Dinner,Vincent,,52:00,02:52
2020-09-26,10:33,02:19,Breakfast,Vincent,,19:00,02:19
2020-09-27,11:17,01:42,Breakfast,Vincent,,42:00,01:42
2020-09-27,18:13,02:09,Dinner,Andrew,,09:00,02:09
2020-09-28,7:16,02:09,Breakfast,Andrew,(wouldn't finish. Kept running on me),09:00,02:09
2020-09-28,18:42,02:21,Dinner,Andrew,,21:00,02:21
2020-09-29,9:12,02:46,Breakfast,Andrew,(left his bowl several times to run on me),46:00,02:46
2020-09-29,18:01,02:09,Dinner,Andrew,,09:00,02:09
2020-09-30,7:23,01:42,Breakfast,Andrew,,42:00,01:42
2020-09-30,18:17,02:08,Dinner,Andrew,,08:00,02:08
2020-10-01,9:13,01:51,Breakfast,Andrew,,51:00,01:51
2020-10-01,18:00,02:21,Dinner,Andrew,,21:00,02:21
2020-10-02,7:25,01:46,Breakfast,Andrew,,46:00,01:46
2020-10-02,17:54,02:26,Dinner,Andrew,,26:00,02:26
2020-10-03,9:34,02:33,Breakfast,Andrew,(left bowl near end),33:00,02:33
2020-10-03,17:36,02:20,Dinner,Andrew,,20:00,02:20
2020-10-04,9:58,01:51,Breakfast,Andrew,,51:00,01:51
2020-10-04,18:43,02:40,Dinner,Andrew,,40:00,02:40
2020-10-05,7:26,01:37,Breakfast,Andrew,,37:00,01:37
2020-10-05,18:17,01:52,Dinner,Andrew,,52:00,01:52
2020-10-06,9:05,02:15,Breakfast,Andrew,,15:00,02:15
2020-10-06,18:17,01:47,Dinner,Andrew,,47:00,01:47
2020-10-07,7:27,02:20,Breakfast,Andrew,,20:00,
2020-10-07,18:22,01:47,Dinner,Andrew,,47:00,
2020-10-08,9:04,02:45,Breakfast,Andrew,,45:00,
2020-10-08,18:10,02:11,Dinner,Andrew,,11:00,
2020-10-09,7:35,02:08,Breakfast,Andrew,,08:00,
2020-10-10,8:22,01:44,Breakfast,Andrew,,44:00,
2020-10-10,17:53,02:07,Dinner,Andrew,,07:00,
2020-10-11,17:54,02:01,Dinner,Andrew,,01:00,
2020-10-12,10:53,02:00,Breakfast,Andrew,,00:00,
2020-10-12,18:20,03:15,Dinner,Andrew,,15:00,
2020-10-13,17:50,02:17,Dinner,Andrew,,17:00,
2020-10-14,7:25,01:46,Breakfast,Andrew,,46:00,
